"Код дилера";"Сервисный код дилера";;;"Код SAP площадки";"Контрагент";;;"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";;;;;;"Стоимость запчастей";;;;;;"Стоимость запчастей PL-2";;;"Итого - ремонт";;;;;;"Итого - PL-2 ремонт";;
;;;;;;;;;;;;;"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"TM";"2019-2020";"3.5";"Бензиновый";3330;4440;3330;5180;3330;4440;9977;10602;9977;14703;9977;10602;14703;9977;10602;13307;15042;13307;19883;13307;15042;19883;13307;15042
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"TM";"2019-2020";"2.2";"Дизельный";3330;4440;3330;4440;3330;4440;10384;15036;10384;15036;10384;15036;15036;10384;15036;13714;19476;13714;19476;13714;19476;19476;13714;19476
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"TM";"2019-2020";"2.4";"Бензиновый";3330;4440;3330;5180;3330;4440;8613;9238;8613;14783;8613;9238;14783;8613;9238;11943;13678;11943;19963;11943;13678;19963;11943;13678
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"TM";"2020-";"2.2";"Дизельный";3330;4440;3330;4440;3330;4440;10024;14415;10024;14415;10024;14415;14415;10024;14415;13354;18855;13354;18855;13354;18855;18855;13354;18855
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"TM";"2020-";"2.5";"Бензиновый";3330;4440;3330;5180;3330;4440;9600;10225;9600;16764;9600;10225;16764;9600;10225;12930;14665;12930;21944;12930;14665;21944;12930;14665
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"TM";"2020-";"3.5";"Бензиновый";3330;4440;3330;5180;3330;4440;9837;10462;9837;14563;9837;10462;14563;9837;10462;13167;14902;13167;19743;13167;14902;19743;13167;14902
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Grand Santa Fe";"NC";"2012-2018";"3.3";"Бензиновый";3330;4440;3330;5180;3330;4440;7533;8096;7533;9525;7533;8096;8103;6659;6767;10863;12536;10863;14705;10863;12536;13283;9989;11207
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Grand Santa Fe";"NC";"2012-2018";"3.0 GDI";"Бензиновый";3330;4440;3330;5180;3330;4440;7356;13228;7356;17407;7356;13228;14816;6466;10229;10686;17668;10686;22587;10686;17668;19996;9796;14669
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Grand Santa Fe";"NC";"2012-2018";"2.2";"Дизельный";3330;4440;3330;4440;3330;4440;8710;11547;8710;11547;8710;11547;10488;7808;9871;12040;15987;12040;15987;12040;15987;14928;11138;14311
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Palisade";"LX2";"2020-";"2.2";"Дизельный";3330;4440;3330;4440;3330;4440;12111;14248;12111;14248;12111;14248;14248;12111;14248;15441;18688;15441;18688;15441;18688;18688;15441;18688
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Palisade";"LX2";"2020-";"3.5";"Бензиновый";3330;4440;3330;5180;3330;4440;9058;9683;9058;13325;9058;9683;13325;9058;9683;12388;14123;12388;18505;12388;14123;18505;12388;14123
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"H1";"TQ";"2007-";"2.4";"Бензиновый";3330;4440;3330;5180;3330;4440;7576;11073;7576;12224;7576;11073;12224;7576;11073;10906;15513;10906;17404;10906;15513;17404;10906;15513
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"H1";"TQ";"2007-";"2.5";"Дизельный";3330;4440;3330;4440;3330;4440;10798;13900;10798;13900;10798;13900;13900;10798;13900;14128;18340;14128;18340;14128;18340;18340;14128;18340
