"Код дилера";"Сервисный код дилера";"";"";"Код SAP площадки";"Контрагент";"";"";"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";"";"";"";"";"";"Стоимость запчастей";"";"";"";"";"";"Стоимость запчастей PL-2";"";"";"Итого - ремонт";"";"";"";"";"";"Итого - PL-2 ремонт";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"H1";"TQ";"2007-";"2.4";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"13196,25";"18332,36";"13196,25";"20227,74";"13196,25";"18332,36";"19227,74";"12196,25";"17332,36";"17786,25";"24542,36";"17786,25";"27517,74";"17786,25";"24542,36";"26517,74";"16786,25";"23542,36"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"H1";"TQ";"2007-";"2.5";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"17570,34";"22094,72";"17570,34";"22094,72";"17570,34";"22094,72";"21094,72";"16570,34";"21094,72";"22160,34";"28304,72";"22160,34";"28304,72";"22160,34";"28304,72";"27304,72";"21160,34";"27304,72"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Staria";"US4";"2021-";"3.5";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"17560";"18955,37";"17560";"22788,37";"17560";"18955,37";"21788,37";"16560";"17955,37";"22150";"25165,37";"22150";"30078,37";"22150";"25165,37";"29078,37";"21150";"24165,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Staria";"US4";"2021-";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"18083";"24300,37";"18083";"24300,37";"18083";"24300,37";"23300,37";"17083";"23300,37";"22673";"30510,37";"22673";"30510,37";"22673";"30510,37";"29510,37";"21673";"29510,37"
"RC160";"00182";"";"";"C40AF00182";"Хендэ Центр Краснодар";"";"";"Solaris";"HCR PE";"2020-";"1.4";"Бензиновый";"3500";"4700";"3500";"5800";"3500";"4700";"8400";"9400";"8500";"25500";"8500";"9400";"25000";"8000";"8900";"11900";"14100";"12000";"31300";"12000";"14100";"30800";"11500";"13600"
"RC160";"00182";"";"";"C40AF00182";"Хендэ Центр Краснодар";"";"";"Solaris";"HCR PE";"2020-";"1.6";"Бензиновый";"3500";"4700";"3500";"5800";"3500";"5800";"8900";"12800";"8900";"17000";"8900";"17000";"16500";"8400";"16500";"12400";"17500";"12400";"22800";"12400";"22800";"22300";"11900";"22300"
"RC160";"00182";"";"";"C40AF00182";"Хендэ Центр Краснодар";"";"";"Solaris";"HCR";"2017-2019";"1.4";"Бензиновый";"3500";"4700";"3500";"5800";"3500";"4700";"8400";"9400";"8500";"25500";"8500";"9400";"25000";"8000";"8900";"11900";"14100";"12000";"31300";"12000";"14100";"30800";"11500";"13600"
"RC160";"00182";"";"";"C40AF00182";"Хендэ Центр Краснодар";"";"";"Solaris";"HCR";"2017-2019";"1.6";"Бензиновый";"3500";"4700";"3500";"5800";"3500";"5800";"8900";"12800";"8900";"17000";"8900";"17000";"16500";"8400";"16500";"12400";"17500";"12400";"22800";"12400";"22800";"22300";"11900";"22300"
"RC160";"00182";"";"";"C40AF00182";"Хендэ Центр Краснодар";"";"";"Solaris";"RBR";"2011-2016";"1.4";"Бензиновый";"3500";"4700";"3500";"5800";"3500";"4700";"8400";"12300";"8500";"15600";"8400";"12300";"15000";"7900";"11800";"11900";"17000";"12000";"21400";"11900";"17000";"20800";"11400";"16500"
"RC160";"00182";"";"";"C40AF00182";"Хендэ Центр Краснодар";"";"";"Solaris";"RBR";"2011-2016";"1.6";"Бензиновый";"3500";"4700";"3500";"5800";"3500";"4700";"8400";"12300";"8500";"15600";"8400";"12300";"1500";"7900";"11800";"11900";"17000";"12000";"21400";"11900";"17000";"7300";"11400";"16500"
